customer_id,city,join_date
1,Pune,2024-05-10
2,Hyderabad,2024-12-31
3,Pune,2024-11-10
4,Lucknow,2022-05-02
5,Lucknow,2023-04-12
6,Jaipur,2022-11-27
7,Lucknow,2022-03-29
8,Hyderabad,2024-05-21
9,Chennai,2022-05-11
10,Mumbai,2024-02-09
11,Pune,2022-12-10
12,Ahmedabad,2024-03-16
13,Indore,2023-01-21
14,Bengaluru,2024-08-13
15,Jaipur,2022-10-04
16,Pune,2023-04-05
17,Nagpur,2022-01-22
18,Jaipur,2022-09-10
19,Bhopal,2024-01-18
20,Indore,2024-05-06
21,Indore,2023-04-20
22,Delhi,2024-12-18
23,Ahmedabad,2023-05-26
24,Chennai,2023-12-01
25,Chennai,2024-09-02
26,Hyderabad,2022-07-09
27,Hyderabad,2024-08-15
28,Lucknow,2023-11-18
29,Chennai,2024-08-15
30,Ahmedabad,2023-07-17
31,Indore,2024-04-11
32,Chennai,2023-10-09
33,Ahmedabad,2022-01-21
34,Bhopal,2024-04-20
35,Mumbai,2022-06-16
36,Lucknow,2023-01-23
37,Delhi,2023-08-24
38,Pune,2022-11-12
39,Delhi,2022-01-14
40,Jaipur,2022-08-30
41,Mumbai,2024-02-16
42,Indore,2023-07-19
43,Delhi,2024-06-16
44,Indore,2022-04-02
45,Nagpur,2024-08-13
46,Mumbai,2023-05-24
47,Bengaluru,2024-02-15
48,Mumbai,2022-02-04
49,Delhi,2022-07-25
50,Ahmedabad,2024-10-22
51,Delhi,2024-10-18
52,Chennai,2023-07-20
53,Chennai,2023-12-04
54,Pune,2023-02-06
55,Nagpur,2023-12-31
56,Mumbai,2022-06-11
57,Lucknow,2022-07-21
58,Indore,2024-09-22
59,Nagpur,2022-09-27
60,Chennai,2024-03-26
61,Mumbai,2023-04-01
62,Jaipur,2024-10-13
63,Jaipur,2022-10-23
64,Chennai,2023-12-21
65,Indore,2022-12-04
66,Nagpur,2024-05-28
67,Delhi,2024-12-12
68,Delhi,2024-03-02
69,Mumbai,2022-08-05
70,Bhopal,2024-02-03
71,Jaipur,2022-07-07
72,Lucknow,2023-01-15
73,Pune,2023-05-08
74,Mumbai,2024-11-30
75,Ahmedabad,2022-01-15
76,Pune,2022-03-06
77,Bhopal,2023-06-05
78,Indore,2023-10-10
79,Delhi,2024-12-22
80,Pune,2023-08-16
81,Chennai,2023-01-27
82,Lucknow,2023-02-23
83,Indore,2022-10-16
84,Ahmedabad,2023-01-14
85,Nagpur,2022-08-19
86,Bengaluru,2024-10-14
87,Bhopal,2022-02-10
88,Mumbai,2024-11-17
89,Bengaluru,2022-05-15
90,Bengaluru,2022-07-20
91,Pune,2024-02-19
92,Nagpur,2024-07-18
93,Mumbai,2024-11-22
94,Delhi,2024-12-07
95,Ahmedabad,2023-05-18
96,Pune,2023-02-11
97,Jaipur,2024-03-15
98,Delhi,2022-04-09
99,Bengaluru,2023-11-15
100,Bhopal,2023-12-27
101,Mumbai,2024-08-18
102,Chennai,2023-09-05
103,Hyderabad,2023-10-05
104,Bhopal,2024-10-25
105,Hyderabad,2023-05-18
106,Pune,2024-02-06
107,Delhi,2023-02-02
108,Indore,2024-05-20
109,Bengaluru,2024-03-05
110,Mumbai,2023-01-28
111,Indore,2022-07-26
112,Ahmedabad,2024-11-04
113,Chennai,2024-06-10
114,Bhopal,2024-05-13
115,Lucknow,2024-01-13
116,Bhopal,2023-07-18
117,Lucknow,2024-10-17
118,Pune,2022-04-06
119,Mumbai,2023-04-30
120,Nagpur,2022-08-19
121,Ahmedabad,2024-01-19
122,Mumbai,2023-06-25
123,Pune,2024-11-25
124,Bhopal,2023-06-09
125,Chennai,2023-08-01
126,Lucknow,2023-11-13
127,Jaipur,2023-07-11
128,Jaipur,2024-10-09
129,Chennai,2023-10-08
130,Chennai,2024-03-06
131,Nagpur,2024-11-17
132,Mumbai,2022-07-09
133,Lucknow,2023-09-25
134,Bengaluru,2023-09-20
135,Lucknow,2024-08-30
136,Bhopal,2023-12-11
137,Delhi,2023-10-11
138,Ahmedabad,2022-11-14
139,Delhi,2023-11-15
140,Lucknow,2023-10-26
141,Delhi,2023-03-18
142,Chennai,2023-07-18
143,Hyderabad,2024-08-09
144,Mumbai,2023-11-30
145,Pune,2022-04-23
146,Lucknow,2022-01-02
147,Indore,2023-10-04
148,Nagpur,2022-08-08
149,Nagpur,2024-05-04
150,Indore,2023-01-20
151,Jaipur,2024-12-12
152,Bengaluru,2023-12-31
153,Delhi,2022-09-04
154,Delhi,2024-04-15
155,Ahmedabad,2022-07-22
156,Indore,2022-05-03
157,Indore,2023-02-05
158,Ahmedabad,2024-02-06
159,Chennai,2022-10-21
160,Mumbai,2022-10-07
161,Pune,2024-06-02
162,Bhopal,2022-07-17
163,Ahmedabad,2024-09-08
164,Lucknow,2024-01-22
165,Pune,2022-05-24
166,Hyderabad,2023-09-01
167,Delhi,2022-07-06
168,Bhopal,2023-04-09
169,Chennai,2023-10-22
170,Mumbai,2024-02-03
171,Bhopal,2024-08-12
172,Bengaluru,2023-02-07
173,Indore,2022-05-27
174,Delhi,2024-05-13
175,Indore,2023-05-04
176,Chennai,2024-07-17
177,Nagpur,2023-07-05
178,Mumbai,2022-12-04
179,Nagpur,2024-05-21
180,Indore,2023-10-03
181,Ahmedabad,2023-04-18
182,Indore,2022-05-31
183,Nagpur,2022-09-20
184,Bengaluru,2022-05-24
185,Nagpur,2022-12-12
186,Mumbai,2023-09-16
187,Chennai,2024-10-13
188,Bengaluru,2024-05-30
189,Lucknow,2022-01-02
190,Bengaluru,2024-06-15
191,Hyderabad,2022-09-11
192,Delhi,2023-03-29
193,Indore,2024-11-26
194,Pune,2024-10-11
195,Indore,2022-01-09
196,Bhopal,2024-03-26
197,Delhi,2022-07-27
198,Pune,2023-02-08
